height,weight,years,country
69.0,165.0,38.7727739256,USA
70.0,175.0,38.8467465283,USA
70.0,154.0,34.619349268,BEL
68.0,150.0,37.6303081721,USA
73.0,195.0,41.9946917338,USA
,,20.7645547475,USA
,,25.4686643365,CAN
,,,
67.0,,26.2878424187,USA
72.0,175.0,,USA
72.0,192.0,,USA
,,,USA
,,,USA
72.0,160.0,26.7618150215,CAN
,,,USA
,,,USA
73.0,175.0,38.2796232406,USA
76.0,225.0,44.1645547475,USA
,,31.2823629667,ENG
71.0,185.0,,USA
,,,USA
71.0,165.0,41.315239679,USA
,,,USA
69.0,157.0,,USA
74.0,165.0,38.6467465283,ITA
,,,USA
,,,USA
,,32.7289383091,AUS
68.0,160.0,38.6604451585,USA
65.0,160.0,,USA
,,30.3563355694,USA
71.0,175.0,40.0933218708,USA
,,,USA
69.0,166.0,45.4330478982,BRA
72.0,160.0,29.6248287201,USA
75.0,159.0,,USA
70.0,180.0,,USA
71.0,185.0,,USA
,,,USA
68.0,180.0,44.6741437886,USA
,,23.4385273502,USA
,,,USA
,,,USA
71.0,185.0,42.909760227,ENG
,,,AUS
72.0,190.0,,DEU
70.0,170.0,,USA
72.0,165.0,29.6220889941,AUS
,,,USA
72.0,230.0,36.9453766653,ZWE
70.0,185.0,45.4193492681,AUS
74.0,220.0,42.712499953,USA
73.0,,23.7727739256,USA
71.0,165.0,35.4303081722,CAN
67.0,155.0,35.7371574872,USA
77.0,210.0,,USA
74.0,183.0,43.4878424188,NLD
70.0,160.0,40.1042807749,USA
66.0,180.0,30.3946917338,MEX
72.0,178.0,36.1453766653,USA
72.0,180.0,48.8549657064,USA
73.0,182.0,34.4960615968,ENG
73.0,196.0,39.5261985831,SCT
,,,USA
69.0,160.0,33.1426369393,USA
72.0,187.0,31.416609542,AUS
73.0,180.0,29.5563355694,CAN
66.0,,24.7919520078,CHL
69.0,160.0,39.5590752955,ENG
71.0,174.0,41.6960615968,WLS
70.0,180.0,,USA
,,,USA
,,26.1289383092,USA
,,,USA
,,,USA
,,,USA
72.0,168.0,43.9837328297,WLS
,,26.5864725558,AUS
72.0,190.0,39.7207191311,USA
72.0,,,CAN
73.0,,27.1782533777,FRA
70.0,180.0,40.2659246105,USA
,,34.2905821448,USA
73.0,205.0,48.4193492681,USA
,,,USA
,,27.9535958434,USA
71.0,180.0,,USA
73.0,183.0,24.1892122818,USA
,,24.5782533777,IRL
70.0,170.0,,USA
72.0,180.0,45.6412670763,USA
72.0,168.0,39.5207191311,ENG
,,,
,,,COL
68.0,168.0,38.21113009,SWE
,,,USA
75.0,190.0,,CAN
70.0,220.0,,USA
73.0,195.0,,USA
75.0,175.0,42.2878424188,USA
74.0,190.0,,AUS
75.0,220.0,47.7042807749,ZAF
,,,USA
75.0,185.0,27.9261985832,USA
71.0,,29.0275684462,WLS
69.0,145.0,34.6686643366,USA
,,,USA
72.0,170.0,27.112499953,USA
74.0,,,USA
74.0,180.0,,USA
,,45.1672944736,PRI
74.0,13.0,32.7618150215,ARG
68.0,,29.0138698161,ARG
,,,
,,,USA
,170.0,29.2823629667,USA
,,30.2522259804,ENG
71.0,200.0,33.5645547476,USA
73.0,185.0,,USA
75.0,195.0,,GBR
,,29.2549657065,WLS
68.0,,30.5316780352,USA
71.0,169.0,45.1700341996,SWE
,,31.4330478982,USA
73.0,190.0,,USA
,,,AUS
,,24.8933218709,ESP
73.0,187.0,36.707020501,ESP
71.0,150.0,25.0467465284,ARG
,,,USA
72.0,160.0,,CAN
68.0,172.0,42.1316780352,ZAF
72.0,220.0,,USA
67.0,,,USA
,,,USA
76.0,200.0,,USA
74.0,202.0,40.0549657065,ENG
73.0,175.0,27.8796232407,USA
73.0,179.0,28.7672944736,ENG
75.0,168.0,36.5974314599,ENG
77.0,180.0,38.0577054325,ZAF
,,,USA
70.0,140.0,23.4577054325,ENG
70.0,145.0,33.0385273503,AUS
73.0,,26.4330478983,ENG
71.0,165.0,50.109760227,USA
73.0,,,SWE
71.0,170.0,,USA
72.0,180.0,35.3590752955,USA
,,,USA
74.0,185.0,30.0933218709,USA
69.0,150.0,28.701541049,USA
68.0,145.0,29.7590752955,USA
,,,NZL
75.0,160.0,26.4467465284,USA
69.0,165.0,,PRY
73.0,185.0,45.3316780353,USA
72.0,197.0,38.9261985832,AUS
